regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0035481	FBgn0032230	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
FBgn0035481	FBgn0266895	5.0	5.0	0.21308982185601555	0.99901361985256742	1.0
FBgn0001170	FBgn0015277	5.0	5.0	0.18171116522800868	0.99888371075522209	0.0
FBgn0003870	FBgn0035644	5.0	5.0	0.11839068113276774	0.99887711790599121	0.0
FBgn0001170	FBgn0037116	5.0	5.0	0.15353996422496474	0.99884924813424236	0.0
FBgn0004865	FBgn0261556	5.0	5.0	0.11541719469655742	0.99884670089703953	1.0
FBgn0037672	FBgn0034179	5.0	5.0	0.14265148304780706	0.99880894185144442	1.0
FBgn0001297	FBgn0038145	5.0	5.0	0.14615725417322889	0.99876848573116384	1.0
FBgn0001170	FBgn0030699	5.0	5.0	0.12532669937038809	0.99866419884332958	0.0
FBgn0005558	FBgn0003062	5.0	5.0	0.1166772866626089	0.99862509126039167	1.0
FBgn0001170	FBgn0038332	5.0	5.0	0.14226954278852055	0.99855301943129937	0.0
FBgn0001170	FBgn0033185	5.0	5.0	0.15248426042583774	0.99850237436220735	0.0
FBgn0001170	FBgn0032210	5.0	5.0	0.13476864735767657	0.99848978801367572	0.0
FBgn0000591	FBgn0051441	5.0	5.0	0.14789539551070496	0.99839284316248489	1.0
FBgn0039733	FBgn0000146	-5.0	5.0	0.15110050535537811	0.99838280405115598	0.0
FBgn0001170	FBgn0036987	5.0	5.0	0.12866219840886284	0.9983742633146524	0.0
FBgn0011236	FBgn0030671	5.0	5.0	0.10277396191968868	0.99831822409618964	1.0
FBgn0001170	FBgn0038737	5.0	5.0	0.13436682009313661	0.99823131835632772	0.0
FBgn0045759	FBgn0032447	5.0	5.0	0.13294491097012195	0.99822937046905502	0.0
FBgn0001297	FBgn0033699	-5.0	5.0	0.1398946432939463	0.99818981337366963	1.0
FBgn0001170	FBgn0036317	5.0	5.0	0.13613436654730959	0.99815969603968291	0.0
FBgn0004865	FBgn0035424	5.0	5.0	0.11031444344079622	0.99815310319045203	1.0
FBgn0011236	FBgn0260965	5.0	5.0	0.10751423367589452	0.99814156570429802	1.0
FBgn0015664	FBgn0030420	5.0	5.0	0.11201942331666181	0.99813212594289913	1.0
FBgn0013753	FBgn0033740	5.0	5.0	0.14164808104864468	0.99812995329940268	0.0
FBgn0013753	FBgn0002629	5.0	5.0	0.12071240820155993	0.99804507036555479	0.0
FBgn0001297	FBgn0029885	5.0	5.0	0.10741573640126822	0.99801330481926043	1.0
FBgn0015561	FBgn0031496	5.0	5.0	0.092698835988182182	0.99798618423492425	0.0
FBgn0001170	FBgn0030346	5.0	5.0	0.099524164422245209	0.99795801478821033	0.0
FBgn0013753	FBgn0037515	5.0	5.0	0.12071240820155993	0.99792130460499284	0.0
FBgn0013753	FBgn0267111	5.0	5.0	0.12071240820155993	0.99792130460499284	0.0
FBgn0013753	FBgn0029573	5.0	5.0	0.12071240820155993	0.99792130460499284	0.0
FBgn0013753	FBgn0037280	5.0	5.0	0.12071240820155993	0.99792130460499284	0.0
FBgn0001170	FBgn0040232	5.0	5.0	0.090565182216462259	0.99787949994736957	0.0
