regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0011648	FBgn0259923	16.0	16.0	0.11506432047933512	0.79738304100696156	1.0
FBgn0002633	FBgn0034398	16.0	16.0	0.10088284436013134	0.79732940314057832	1.0
FBgn0034946	FBgn0051638	16.0	16.0	0.10606584401010877	0.79724715841212412	1.0
FBgn0041092	FBgn0262518	16.0	16.0	0.10123547843037672	0.79676214206882878	1.0
FBgn0004396	FBgn0014037	-16.0	16.0	0.095698084861305932	0.79669013729668403	1.0
FBgn0001981	FBgn0038638	16.0	16.0	0.090288208579767992	0.79634726129930422	1.0
FBgn0030432	FBgn0262467	16.0	16.0	0.092523909077981303	0.79607224532984855	1.0
FBgn0040918	FBgn0037686	-15.0	15.0	0.19146390784300565	0.74980796018444928	0.0
FBgn0000567	FBgn0003174	15.0	15.0	0.18605250537852991	0.74956805263662618	0.0
FBgn0000591	FBgn0083968	15.0	15.0	0.1694564861586379	0.74938739055030823	0.0
FBgn0005660	FBgn0010411	15.0	15.0	0.14409944974047167	0.74917885302736997	1.0
FBgn0259938	FBgn0013325	-15.0	15.0	0.14813662831435198	0.74886710324639127	0.0
FBgn0030505	FBgn0003274	15.0	15.0	0.14548261360089909	0.74878315185855204	1.0
FBgn0024321	FBgn0016691	15.0	15.0	0.12380671188333453	0.74873260223296068	1.0
FBgn0032223	FBgn0000014	-15.0	15.0	0.13539953761470963	0.74869554334345956	0.0
FBgn0003118	FBgn0051121	15.0	15.0	0.1617990870108717	0.74863028393935993	1.0
FBgn0035160	FBgn0034638	15.0	15.0	0.10633918982181367	0.74811219091179493	1.0
FBgn0005612	FBgn0033518	15.0	15.0	0.11234122864699891	0.74808252754629512	1.0
FBgn0004198	FBgn0017414	15.0	15.0	0.11124606897158856	0.74805635876905974	1.0
FBgn0000459	FBgn0035374	15.0	15.0	0.1152275348606201	0.74801929987955862	0.0
FBgn0004396	FBgn0028737	15.0	15.0	0.11256885285065754	0.74790796067206622	1.0
FBgn0004837	FBgn0027590	15.0	15.0	0.10800231623448248	0.74772672969928666	1.0
FBgn0001981	FBgn0014026	15.0	15.0	0.1021074975045087	0.74771779005488936	1.0
